ID;Stambog;Tato;navn;breeder;far;mor;DKKtitler;Titler;LastVisit;Count;born;HD;AD;HZ;SP;Indexdato;HDindex;sex;farve;dead;AK;Avlsstatus;MB;billede;Ejer;Adresse;Postnr;By;telefon;email;url;log;brugernavn;adgangskode;Updated;BrugerCookie;BrugerIP;AddedBy;DateAdded
2113;13467/82;;Bella;;19642/80;02654/80;;;;0;12-04-1982;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2114;13469/82;;Barba;;19642/80;02654/80;;;;0;12-04-1982;A2;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2115;DK13474/2007;2,08E+14;Skovsøhøj Bellis Ida;;02132/2004;14703/2002;;;;0;17-06-2007;;;;;;0;T;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;22-03-2008
2116;13490/90;;Miazar Amour;;18530/88;20155/86;;;;0;30-05-1990;;;;;;0;T;;1;AK;0;0;;;;;;;;;;;;;;;;
2117;13491/90;;Miazar Aida;;18530/88;20155/86;;;;0;30-05-1990;B2;;;;;0;T;;1;AK;0;0;;;;;;;;;;;;;;;;
2118;13497/90;;Miazar Alcapone;;18530/88;20155/86;;;;0;30-05-1990;;;;;;0;H;;1;AK;0;0;;;;;;;;;;;;;;;;
2119;13531/2006;2,08E+14;Von Ellinghaus Justin;;PKR65509;08510/2001;;Bp-ABC, Bp-AB, Bp-B, IPO-1, FP;;0;10-06-2006;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;13-08-2007
2120;13532/92;;Rasmiene v. Bereler Ries ;;DBZB187571;DBZB194107;DKCH;;;0;14-07-1991;B1;;;;;0;T;Tg;0;AK;0;0;;;;;;;;;;;;;;;;
2121;DK13534/2006;2,08E+14;Von Ellinghaus J-Lo;;PKR65509;08510/2001;;;;0;10-06-2006;B;0;0 (DE);0;01-06-2011;102;T;Rg/hv;;AK;1;0;;;;;;;;;;;;05-12-2013;;;;07-11-2006
2122;13536/2006;2,08E+14;Von Ellinghaus Jacqline;;PKR65509;08510/2001;;;;0;10-06-2006;B;0;0;0;01-10-2012;96;T;Rg/hv;0;AK;1;0;;;;;;;;;;;;10-01-2013;;;;05-12-2007
2123;13549/00;;Gallinas Sky Walker;;19304/95;25402/96;;;;0;18-07-2000;;;;;;0;T;Rg;0;;0;0;;;;;;;;;;;;;;;;19-06-2002
2124;13608/2003;V13159;Mariehøj´s Dolly;;08506/2001;08993/2000;;;;0;20-06-2003;A;;;;27-12-2004;135,3200073;T;Rg;0;;0;1;;;;;;;;;;;;;;;;09-11-2003
2125;13624/81;;Bob;;25308/76;22972/77;;;;0;18-04-1981;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
2126;13626/81;;Bessie;;25308/76;22972/77;;;;0;18-04-1981;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2127;13628/81;;Bianca;;25308/76;22972/77;;;;0;18-04-1981;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
